TYPO,CORRECTION
claered,cleared
clmibing,climbing
J ersey,Jersey
E asy,easy
canceled,cancelled
authorised,authorized
alpha,alfa
juliet,juliett
Airbus Industry,Airbus Industrie
Adima,Adimo
Ambraer,Embraer
Auche,Auch
Boredaux,Bordeaux
Brussel,Brussels
Elitravel,Helitravel
Foncorbes,Fonsorbes
Limoge,Limoges
Lorgnes,Lognes
Louranne,Luran
Lufhthansa,Lufthansa
Lutfhansa,Lufthansa
LS,ILS
LPV,LVP
V O R,VOR
asy,Easy
thre,three
A igle azur,Aigle Azur
Mediterrannee,Mediterranee
Merginac,Merignac
Middland,Midland
Midlands,Midland
Midleland,Midland
Murex,Muret
Nostrun,Nostrum
Novelair,Nouvelair
Ordil,Orbil
Puma,Pumal
QHN,QNH
fee,feet
R oyalair,Royalair
R yanair,Ryanair
yanair,Ryanair
Rynair,Ryanair
Shcool,School
Speedird,Speedbird
Speebird,Speebird
Tolouse,Toulouse
UT,UTC
Yion,Yon
abuot,about
absolutly,absolutely
acrossing,a crossing
i hop,i hope
wouldd,would
White start,Whitestar
White star,Whitestar
White Star,Whitestar
alpa,alpha
airfied,airfield
heding,heading
helo,hello
huuh,huh
identifiy,identify
incercept,intercept
incing,icing
indiaa,india
inforation,information
informatio,information
informtation,information
inforation,information
infrom,inform
ii,if
initialy,initially
interecept,intercept
invisibile,invisible
irbus,Airbus
issus,issues
miner,minor
juste,just
lastest,latest
levelling,leveling
ligth,light
madame,madam
maintaing,maintain
actived,active
adise,advise
affrim,affirm
afternooon,afternoon
airbone,airborne
altitutde,altitude
ambraer,Embraer
apporach,approach
approchaing,approaching
approuved,approved
aproaching,approaching
aution,caution
avise,advise
beacause,because
behing,behind
cannnot,cannot
Reims-,Reims
bye-,bye
caution-,caution
cicling,circling
claered,cleared
cleaed,cleared
clearead,cleared
clmibing,climbing
cntinue,continue
communcations,communications
compagny,company
contact-,contact
contine,continue
corssing,crossing
co--,co-
croww,crow
cuation,caution
decend,descend
decsend,descend
deegres,degrees
degress,degrees
degrezs,degrees
deicmal,decimal
deltat,delta
desceding,descending
descedning,descending
descendig,descending
descendind,descending
descendning,descending
desending,descending
directionnal,directional
desactivated,disactivated
efficial,threshold
eigteen,eighteen
eihgt,eight
estabilshed,established
establised,established
etablished,established
excpecting,expecting
evenging,evening
he runway,the runway
exect,expect
ech--,ech-
echo-,echo
exercice,exercise
exercices,exercises
expact,expect
expedied,expedite
fi--,fi-
filght,flight
folow,follow
fiftt,fifty
foxtrox,foxtrot
freqency,frequency
frequencie,frequency
gofle,golf
goiing,going
groud,ground
gutsing,gusting
heading-,heading
headint,heading
heaing,heading
hote,hotel
identifiy,identify
incercept,intercept
inormation,information
lefft,left
ligth,light
manoevering,maneuvering
maximium,maximum
level-,level
minima's,minimas
minmum,minimum
minuts,minutes
monring,morning
negatif,negative
nform,inform
nformation,information
no-now,no- now
novemner,november
november-,november
oposite,opposite
osacar,oscar
oscar-,oscar
ovecast,overcast
overcasts,overcast
ox-trot,foxtrot
oxgyen,oxygen
parallele,parallel
parrallel,parallel
peedbird,Speedbird
ew point,dew point
pecials,special
preshulde,threshold
proceding,proceeding
qfternoon,afternoon
qoogbye,goodbye
r-nav,rnav
recept,received
reday,ready
reques,request
restablished,reestablished
reveiced,received
reveived,received
rght,right
rightwind,right wind
rigt,right
roughfly,roughly
runway-,runway
runxay,runway
rurn,turn
rwunay,runway
ryunway,runway
scatered,scattered
scool,school
servive,service
sif-cant,significant
signigicant,significant
southband,southbound
stablished,established
standbye,standby
sveen,seven
temperaure,temperature
thaat,that
thresold,threshold
con- tinue,continue
transtition,transition
trhee,three
turnright,turn right
twonine,two nine
twwo,two
typr,type
uebec,quebec
unifom,uniform
unifrom,uniform
unservicable,unserviceable
unservice able,unserviceable
vacacated,vacated
vacacted,vacated
vavaction,vacation
vecor,vector
vecotrs,vectors
vectoing,vectoring
vectorc,vector
vetoring,vectoring
vetors,vectors
visibitity,visibility
vvivbility,visibility
wdescend,wdescend
weahter,weather
whisty,whiskey
whyskey,whiskey
wishky,whiskey
winf,wind
zero-,zero
Air France,Airfrans
Easy Travel,Helitravel
East flight, Eastflight
max cool,Enac School
Airforce,Air Force
Germanwings,German Wings
Royal Air Maroc,Royalair Maroc
Swift Air,Swiftair
Top Swiss,Topswiss



